ROI4;ROI5;ROI7;ROI16;ROI25;ROI26;ROI28;ROI29;ROI30;ROI32;ROI38;ROI49;ROI53;ROI60;ROI64;ROI66
2;1;13;23;56;59;75;128;88;98;196;81;59;166;53;649
39;187;23;1489;122;71;291;234;255;111;442;356;186;273;419;1116
70;233;196;1663;213;79;704;253;305;170;495;376;269;304;556;1074
282;272;233;1779;227;187;728;280;356;283;656;487;281;325;710;1411
289;282;253;;264;262;765;299;405;310;798;518;298;429;738;
297;289;268;;271;270;776;317;490;353;1074;664;370;517;800;
323;297;272;;281;282;810;328;517;367;1165;843;401;582;838;
427;531;365;;309;298;822;338;623;380;1421;903;427;658;1055;
632;714;718;;357;323;842;367;658;396;1471;1096;442;839;1134;
809;719;795;;557;361;924;463;757;445;1500;1118;685;904;1158;
843;801;928;;661;368;1074;511;1005;469;1591;1132;800;915;1340;
1093;845;1161;;1003;401;1135;532;1085;488;1738;1324;877;979;;
1446;1092;1374;;1029;417;1279;554;1098;536;1753;1340;970;1002;;
;1179;1417;;1105;427;1364;562;1184;562;;1367;1073;1085;;
;1367;1452;;1146;445;1374;606;1276;584;;1375;1049;1102;;
;1375;1469;;1193;557;1403;640;1365;594;;1491;1054;1144;;
;1423;1513;;1291;801;1410;717;1389;654;;1524;1077;1180;;
;1574;1491;;1447;857;1420;920;1592;681;;1583;1099;1298;;
;1740;1593;;1523;877;1445;969;1685;801;;1593;1109;1329;;
;1763;1752;;1536;969;1467;984;1718;819;;1700;1132;1355;;
;;;;1591;1035;1479;1078;1727;843;;1717;1143;1410;;
;;;;1640;1055;1484;1112;1769;1005;;;1182;1445;;
;;;;1729;1078;1513;1160;;1044;;;1294;1491;;
;;;;;1099;1520;1190;;1078;;;1366;1535;;
;;;;;1131;1546;1221;;1097;;;1487;1639;;
;;;;;1142;1610;1238;;1113;;;;1727;;
;;;;;1160;1631;1256;;1165;;;;;;
;;;;;1295;1640;1310;;1184;;;;;;
;;;;;1374;;1332;;1206;;;;;;
;;;;;1390;;1412;;1254;;;;;;
;;;;;1490;;1438;;1290;;;;;;
;;;;;1634;;1475;;1308;;;;;;
;;;;;;;1482;;1481;;;;;;
;;;;;;;1499;;1642;;;;;;
;;;;;;;1500;;1661;;;;;;
;;;;;;;1635;;1764;;;;;;
;;;;;;;1648;;;;;;;;
;;;;;;;1746;;;;;;;;
